"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"衛部藥製字第060826號","痛悅定膜衣錠80毫克","Fetrin Film Coated Tablets 80mg","橢圓形","","黃","","直線","17.1","YSP241",,"https://mcp.fda.gov.tw/insert/shapeImg/4fcbf7d9-d34f-4f4e-a898-26e78bc56167?c=o"
"衛部藥製字第060828號","""元宙""美炎錠","Meyuan ""Y.C.""","圓形","","白","","直線","7","1009",,"https://mcp.fda.gov.tw/insert/shapeImg/330f971e-8b33-4d58-a2b1-9cdbd9a6610a_img_1?c=o"
"衛部藥製字第060830號","""國嘉""嘉胃能錠","Jawell Tablets ""Kojar""","圓形","","白","","無","10",,,"https://mcp.fda.gov.tw/insert/shapeImg/dc733f3b-038b-41a3-9aef-df9a1d794646_img_1?c=o"
"衛部藥製字第060831號","優保平持續性藥效錠150毫克","Eupropion SR Tablets 150mg","圓形","","紫","","無","11.0",,,"https://mcp.fda.gov.tw/insert/shapeImg/16a3e68c-fffe-48f3-90d0-069239a706e7?c=o"
"衛部藥製字第060834號","挺立壯膜衣錠20毫克","Taden F.C. Tablets 20mg","水滴形","","白","","無","13","SYN","004","https://mcp.fda.gov.tw/insert/shapeImg/13eb767d-b0ae-4e3f-a5a3-db84e7dddaab?c=o"
"衛部藥製字第060839號","""十全""美善妮媚錠100毫克","Nimed Tablets 100mg ""S.C.""","圓形","","白","","無","11.2","G",,"https://mcp.fda.gov.tw/insert/shapeImg/353597b3-5184-498d-9fe6-7feb15b99416_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/7d0ff888-0bbc-43bf-add3-e32fcc9f6df0?c=o"
"衛部藥製字第060841號","威若賓20毫克軟膠囊","Vinobin Softgel Capsules 20mg","膠囊","","黃","","無","11",,,"https://mcp.fda.gov.tw/insert/shapeImg/3d2852bb-b788-4b3a-8bf8-3a8c42f724f9?c=o"
"衛部藥製字第060849號","威若賓80毫克軟膠囊","Vinobin softgel Capsules 80mg","膠囊","","黃","","無","21",,,"https://mcp.fda.gov.tw/insert/shapeImg/0a2a3b08-9c87-4c69-8ec2-9d34d8309ed6?c=o"
"衛部藥製字第060852號","羅可諾舒液劑","Lactulose FS Solution","液劑(包含糖漿用粉劑)","","黃","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/559a6c6b-bcc2-4fae-9038-b7c531f7017b_img_1?c=o"
"衛部藥製字第060856號","旭恆力膜衣錠30毫克","Shilonn 30mg F.C. tablets","圓形","","灰","","無","6.0","S 30",,"https://mcp.fda.gov.tw/insert/shapeImg/762b28fd-d571-45ba-9ef6-80bffff6081c?c=o"
"衛部藥製字第060857號","清立漂膜衣錠12毫克","Puresenna Film-coated Tablets 12mg","圓形","","棕","","直線","7.7","EX 38",,"https://mcp.fda.gov.tw/insert/shapeImg/1f563a30-e2c5-4256-8f16-2df6697df288?c=o"
"衛部藥製字第060858號","保順液","Lactulose smile solution ""FS""","液劑(包含糖漿用粉劑)","","黃","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/4c96d44b-188d-492a-a365-6d64f3e01eda_img_1?c=o"
"衛部藥製字第060862號","""應元""安妥眼藥水0.01%","Antol Eye Drops 0.01% ""Y.Y.""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/7153783b-fa81-4fda-8b6d-8859a2326558?c=o"
"衛部藥製字第060863號","""國嘉""寶淨口服溶液用粉劑12g","BowLax 12g ""Kojar""","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/745e502a-c3a2-4c3a-8872-3971ce38a0d8?c=o"
"衛部藥製字第060864號","""國嘉""寶淨口服懸液用粉劑10g","BowLax 10g ""Kojar""","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/d2c221fe-a45a-4235-aa4d-d4c8b2d54685?c=o"
"衛部藥製字第060867號","""得生""利斯狄明穿皮貼片10","Li Si Ti Ming Patch 10 ""T.S.""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/7e1fd774-d380-4878-ab20-7748eef21527?c=o"
"衛部藥製字第060868號","""國嘉""停咳寧甘草止咳水","BM oral solution ""Kojar""","液劑(包含糖漿用粉劑)","","黑","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/593ed536-4c0c-4abd-a609-fa4560347b78?c=o"
"衛部藥製字第060883號","""大豐""養肝寶膠囊150毫克","Yangbo Capsules 150mg ""T.F.""","膠囊","","棕;;;棕","","無","20","TF",,"https://mcp.fda.gov.tw/insert/shapeImg/aabb1278-e1a1-4c0d-837a-32f1a7c3b01a?c=o"
"衛部藥製字第060886號","依炎痛膜衣錠400毫克","IPU F.C. Tablets 400mg","橢圓形","","白","","直線","15",,,"https://mcp.fda.gov.tw/insert/shapeImg/9789fc02-f117-4b11-8f41-eb8688d1a5bf?c=o"
"衛部藥製字第060893號","""十全""必達利膜衣錠30毫克","Bidarly F.C. Tablets 30mg ""S.C.""","橢圓形","","白","","直線","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/3b4f37ea-7b48-4cc6-aad5-bf67fe3676d3_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/f469f41d-3b3c-4733-8e93-b031889892b9?c=o"
"衛部藥製字第060894號","樂泰達穩膜衣錠5/160毫克","Amoten F.C. Tablets 5/160mg","橢圓形","","黃","","無","17","WP","06","https://mcp.fda.gov.tw/insert/shapeImg/11d341ce-7bff-413c-9ea6-6d9ca8daed05?c=o"
"衛部藥製字第060898號","""中美生醫""解痛寧膜衣錠400毫克","""C.M.B."" Ibuprofen F.C. Tablets 400mg","橢圓形","","白","","直線","18","C M","400","https://mcp.fda.gov.tw/insert/shapeImg/7e94f77d-b1af-44b3-9c18-8fc845e8907c_img_1?c=o"
"衛部藥製字第060899號","""中美""解百痛膜衣錠400毫克","Ache-Free Ibuprofen F.C. Tablets 400mg ""C.M.""","橢圓形","","白","","直線","18","C M","400","https://mcp.fda.gov.tw/insert/shapeImg/34fc215b-ec1a-463b-9d3e-c678f366e42c_img_1?c=o"
"衛部藥製字第060900號","萬得氟錠1毫克","WonderFluor Tablets 1mg","圓形","","粉","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/337f87da-512f-4f2c-b27a-0b267f26e0ba_img_1?c=o"
"衛部藥製字第060901號","萬得氟錠0.25毫克","WonderFluor Tablets 0.25mg","圓形","","黃","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/1cd47123-8f9d-4f33-ae66-0511d2a9bdfc_img_1?c=o"
"衛部藥製字第060902號","法迪朗膜衣錠500毫克","Dasmin 500mg film coated tablets","四邊形","","橘","","無","20","BFA5",,"https://mcp.fda.gov.tw/insert/shapeImg/662c4453-4868-42ae-8976-52407fa446d9?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/8d6dffe2-7452-4b64-a9e5-1d658262848d_img_1?c=o"
"衛部藥製字第060904號","""國嘉""美腹寧錠135毫克","Mebeverine Tablets 135mg ""Kojar""","圓形","","粉","","直線","9","KOJAR",,"https://mcp.fda.gov.tw/insert/shapeImg/5de0914e-fb0a-4d02-b602-fff7df7136ea?c=o"
"衛部藥輸字第028473號","厄洛凡膜衣錠100毫克","Erloven (Erlotinib Tablets 100mg)","圓形","","白","","無","10","H","21","https://mcp.fda.gov.tw/insert/shapeImg/7f080924-246a-4741-b96d-7b3f3ce7aca6?c=o"
"衛部藥輸字第028476號","舒達飛膜衣錠100毫克","SILDUFI 100 (Sildenafil Citrate Tablets 100mg)","圓形","","藍","","直線","12","J ","126","https://mcp.fda.gov.tw/insert/shapeImg/ee26c704-e5a9-405e-ae3c-35cf4d675d50?c=o"
"衛部藥輸字第028477號","衛復守錠劑150毫克","VAFSEO Tablets 150 mg","圓形","","白","","無","8.1","150","VDT","https://mcp.fda.gov.tw/insert/shapeImg/eb82c88f-ec06-4f5b-8c46-84baae441ff1?c=o"
"衛部藥輸字第028478號","衛復守錠劑300毫克","VAFSEO Tablets 300 mg","橢圓形","","黃","","無","12.9","300","VDT","https://mcp.fda.gov.tw/insert/shapeImg/6218c61f-4859-4970-a772-84e36d79e8f1?c=o"
"衛部藥輸字第028482號","孕麗鐵 膠囊","Ferretab comp. Capsules","膠囊","","紅;;;紅","","無","18",,,"https://mcp.fda.gov.tw/insert/shapeImg/4943e91e-7bf1-49e4-9642-365baa50d4df?c=o"
"衛部藥輸字第028491號","平特羅100凍晶注射劑","BENTERO 100 (Bendamustine Hydrochloride 100mg)",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/14c8156b-7d62-4378-8ef8-9cda732e79ce?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/8ec85391-a581-4e6a-952f-df9fcfde237c?c=o"
"衛部藥輸字第028492號","克巨染 膜衣錠 200毫克","Livtencity Film-coated tablet 200mg","橢圓形","","藍;;;藍","","無","15.5","SHP","620","https://mcp.fda.gov.tw/insert/shapeImg/76a08426-5076-41a0-af7e-fd994c6bf475?c=o"
"衛部藥輸字第028504號","特平癲膜衣錠500毫克","LETRAM 500 (Levetiracetam F.C. Tablets 500mg)","橢圓形","","黃","","直線","20","H","88","https://mcp.fda.gov.tw/insert/shapeImg/6b39709d-8fda-4caf-a29a-08930ab9f849?c=o"
"衛部藥輸字第028522號","法佐甲錠25微公克","Thyrocure tablets 25 mcg","圓形","","橘","","直線",,,,"https://mcp.fda.gov.tw/insert/shapeImg/af4d3f72-6286-4341-91e8-ffb73be141b4?c=o"
"衛部藥輸字第028536號","易芬妮膜衣錠200毫克","Erifeni Film-coated Tablets 200mg","圓形","","紅","","無","12","200",,"https://mcp.fda.gov.tw/insert/shapeImg/e4978b1b-ce6b-4a66-8a47-205e522e23b3?c=o"
"衛部藥輸字第028538號","平巴持續性藥效錠0.375毫克","Mixole prolonged-release tablets 0.375 mg","圓形","","白","","無","10","ER1","0 375","https://mcp.fda.gov.tw/insert/shapeImg/1fb9f3a1-e9ed-41cb-91a8-fcc8ba3fa17b?c=o"
"衛部藥輸字第028540號","平巴持續性藥效錠1.5毫克","Mixole prolonged-release tablets 1.5mg","橢圓形","","白","","無","13","ER3","1 5","https://mcp.fda.gov.tw/insert/shapeImg/681b0a98-b394-4125-a60f-f58c735a07c2?c=o"
"衛部藥輸字第028548號","恩扎圖軟膠囊40毫克","Enzuta Soft Capsules 40 mg","膠囊","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/d485d803-c24f-45e6-a221-669b3b187251?c=o"
"衛部藥輸字第028550號","多憶安口腔崩散錠10毫克","Donepezil Mylan 10 mg","圓形","","黃","","無","8","DL 10","M","https://mcp.fda.gov.tw/insert/shapeImg/23c9710c-877f-425b-9188-0ba3eed76862?c=o"
"衛部藥輸字第028554號","舒停復膜衣錠6毫克","SOTYKTU film-coated tablets 6mg","圓形","","粉","","無",,"BMS 895","6 mg","https://mcp.fda.gov.tw/insert/shapeImg/9b19a020-408d-4899-af54-be664907e065?c=o"
"衛部藥輸字第028556號","欣覓力40毫克膜衣錠","Scemblix 40mg Film-Coated Tablets","圓形","","白","","無","8.2","40",,"https://mcp.fda.gov.tw/insert/shapeImg/96c657dd-c8ec-41ac-88d0-aa04f5de8e6f?c=o"
"衛部藥輸字第028561號","歐美莎膜衣錠20毫克","OLMESAR 20 (Olmesartan Medoxomil F.C. Tablets 20mg)","圓形","","白;;;灰","","無","8","H","O3","https://mcp.fda.gov.tw/insert/shapeImg/62b6ae48-c5f9-44d8-8ec5-7cf3f7bf9759?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/db3862fb-c6e0-40e4-b16b-9fdb8164a516?c=o"
"衛部藥輸字第028562號","特心平錠80毫克","TELMI H80 Telmisartan Tablets 80 mg","橢圓形","","白","","無","18","H","164","https://mcp.fda.gov.tw/insert/shapeImg/a54a5127-7191-4fe5-89d7-ceca1b9ff35b?c=o"
"衛部藥輸字第028563號","特心平錠40毫克","TELMI H40 Telmisartan Tablets 40 mg","橢圓形","","白","","無","13","H","163","https://mcp.fda.gov.tw/insert/shapeImg/681406d8-e64b-4c4a-b6f3-50129a65fc99?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/96ebb395-c640-45d5-b64e-515780994fd8?c=o"
"衛部藥輸字第028568號","莫剋普寧錠","Purinetone Tablet 50 mg","圓形","","黃","","無","7","PURINETON",,"https://mcp.fda.gov.tw/insert/shapeImg/85cf554b-1bec-4fb9-a443-e8bc9e22ad25?c=o"
"衛部藥輸字第028569號","易解痛膜衣錠60毫克","ETROBAX 60 (Etoricoxib Tablets 60 mg)","四邊形","","藍綠","","無","8","J","97","https://mcp.fda.gov.tw/insert/shapeImg/d7964b07-4b60-43f3-add5-8693a1220a4b?c=o"
"衛部藥輸字第028585號","悠美脈膜衣錠40毫克","Olmemai F.C. Tablets 40 mg","橢圓形","","白","","無","14","C54",,"https://mcp.fda.gov.tw/insert/shapeImg/837b05b4-1ae3-454b-8793-ac8e622c111e?c=o"
"衛部藥輸字第028588號","""美時""飛得順錠60毫克","Fedcen tablets 60 mg ""Lotus""","圓形","","白","","直線","8.9","KOLON PSD",,"https://mcp.fda.gov.tw/insert/shapeImg/92a8100f-5868-4fc1-b492-8fb2e2078a2e?c=o"
"衛部藥輸字第028596號","富而坦眼藥水","Latimo Eye Drops",,"",";;;","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/5266e89e-306e-4d44-8547-203ec52d9d43?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/fd84a7da-fb13-479b-9cb2-dae8bab02ca9?c=o"
"衛部藥輸字第028597號","無比迷你止癢消炎液","Muhi Pocket Liniment","液劑(包含糖漿用粉劑)","","透明","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/b38f0f6f-6e5f-4a08-a583-7099b144a8c9?c=o"
"衛部藥輸字第028598號","""隆柏""敏特思膜衣錠5毫克","Lundbeck Brintellix Film-Coated Tablets 5 mg","水滴形","","粉","","無","8.4","TL","5","https://mcp.fda.gov.tw/insert/shapeImg/36848402-72a9-4c63-a9fb-89e47c4cff92?c=o"
"衛部藥輸字第028599號","""隆柏""敏特思膜衣錠10毫克","Lundbeck Brintellix Film-Coated Tablets 10 mg","水滴形","","黃","","無","8.4","TL","10","https://mcp.fda.gov.tw/insert/shapeImg/edb31045-7fea-4c4a-b0bd-a27b782212a6?c=o"
"衛部藥輸字第028602號","益副蓋錠1毫克","ORKEDIA Tablets 1mg","圓形","","白","","無","7","KH601","1","https://mcp.fda.gov.tw/insert/shapeImg/154b300c-9f06-406b-9239-8d6ea6ad57cc?c=o"
"衛部藥輸字第028603號","益副蓋錠2毫克","ORKEDIA Tablets 2mg","圓形","","黃","","無","7","KH602","2","https://mcp.fda.gov.tw/insert/shapeImg/4e60864c-9235-4840-9c07-4d30b68e3da6?c=o"
"衛部藥輸字第028605號","艾洛能膜衣錠150毫克","Erlonat F.C. Tablets 150 mg","圓形","","白","","無","10","N150",,"https://mcp.fda.gov.tw/insert/shapeImg/24a48520-3748-46ec-87d6-eda7ddeb600e?c=o"
"衛部藥輸字第028606號","霓紓疼膠囊12.5毫克","Nibsutib","膠囊","","灰;;;灰","","無","14","SC","12 5","https://mcp.fda.gov.tw/insert/shapeImg/11fff5c0-d486-4a89-98f4-ee6474008950?c=o"
"衛部藥輸字第028608號","蒂美舒2毫克","DIMETRUM 2mg Tablets","圓形","","白","","無","7","D2",,"https://mcp.fda.gov.tw/insert/shapeImg/b00f8c74-3e6a-4b60-b1c5-6b09a6243a1a?c=o"
"衛部藥輸字第028610號","脫酸寧酸痛藥布","Tosanin EX plaster","四邊形","","橘","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/aeb278df-af62-4a61-8dc4-20be5a19db3f?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/fbdd8ef2-e670-4d94-944e-55347f7cb32a?c=o"
"衛部藥輸字第028611號","致流剋膠囊75毫克","Oseltamivir Viatris 75mg","膠囊","","黃;;;白","","無","18","MYLAN OS3",,"https://mcp.fda.gov.tw/insert/shapeImg/98df68f2-6fe7-46b2-9624-550822f93241?c=o"
"衛部藥輸字第028613號","母扶樂膜衣錠","Marvelon Film Coated Tablets","圓形","","白","","無","5","TR 5","Organon","https://mcp.fda.gov.tw/insert/shapeImg/9c72ee52-33ca-4439-a773-bf788e5a26fc?c=o"
"衛部藥輸字第028614號","索拿癌膜衣錠200毫克","Sorafenib Sandoz Film-coated Tablets 200mg","圓形","","紅","","無",,"200",,"https://mcp.fda.gov.tw/insert/shapeImg/5df3e7a2-0564-4495-8120-0e939245cf1a?c=o"
"衛部藥輸字第028618號","克瘤康膜衣錠100毫克","CALQUENCE Film-coated Tablets 100 mg","橢圓形","","橘","","無",,"ACA100",,"https://mcp.fda.gov.tw/insert/shapeImg/feff1a84-08ec-4f3e-afa8-cf4a1044c9bc?c=o"
"衛部藥輸字第028621號","菲立鐵膠囊","Ferretab Capsules","膠囊","","紅;;;紅","","無","22",,,"https://mcp.fda.gov.tw/insert/shapeImg/78f6895a-318d-4218-8b15-c6aea2924eac?c=o"
"衛部藥輸字第028622號","安托幸 凍晶注射劑 500毫克","Daptocin Injection 500mg(Daptomycin)","顆粒劑、粉劑或散劑","","黃;;;棕","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/e752d508-ab10-45d2-b56e-6822226a823f?c=o"
"衛部藥輸字第028630號","宜脂亭錠10毫克","EZITIN (Ezetimibe Tablets 10 mg)","橢圓形","","白","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/f70d0dba-97d7-44a0-b98f-23088964f7d7?c=o"
"衛部藥輸字第028633號","紐舒泰口溶錠75毫克","Nurtec ODT 75 mg","圓形","","白","","無","13",,,"https://mcp.fda.gov.tw/insert/shapeImg/c0c7396a-ee02-4c5b-85bb-78c450857361?c=o"
"衛部藥輸字第028636號","普痛佳寧膠囊75毫克","Pregabalin Viatris 75 mg","膠囊","","粉","","無","15","MYLAN PB75",,"https://mcp.fda.gov.tw/insert/shapeImg/518abdd3-0c31-45b0-836d-2eb6b2672d69?c=o"
"衛部藥輸字第028639號","適安樂錠1.5毫克","Fasile-One Tablets 1.5 mg","圓形","","白","","無","8","J06",,"https://mcp.fda.gov.tw/insert/shapeImg/5014c6f2-7ff4-4bdd-8c04-614156689576?c=o"
"衛部藥輸字第028643號","威而鋼口溶膜50毫克","VIAGRA 50mg orally disintegrating films","四邊形","","粉","","無","32",,,"https://mcp.fda.gov.tw/insert/shapeImg/2359822b-f6f3-4884-95ec-152f8dd2ffea?c=o"
"衛部藥輸字第028644號","癌停諾膜衣錠150毫克","Ertinob 150mg Film Coated Tablet","圓形","","白","","直線","11",,,"https://mcp.fda.gov.tw/insert/shapeImg/4fe67fd5-6b12-49e3-9330-bf94557d06e9?c=o"
"衛部藥輸字第028645號","癌停諾膜衣錠100毫克","Ertinob 100mg Film Coated Tablet","圓形","","白","","直線","10",,,"https://mcp.fda.gov.tw/insert/shapeImg/7854c5f9-e2b2-4a1a-94bf-91912bd87344?c=o"
"衛部藥輸字第028649號","樂益威B群膜衣錠","Neuromultivit film-coated tablets","圓形","","白","","無","12",,,"https://mcp.fda.gov.tw/insert/shapeImg/b735ce46-3b9a-4b7b-8f94-d2be33d3b9a1?c=o"
"衛部藥輸字第028651號","截永樂錠100毫克","Zejula tablets 100mg","橢圓形","","灰;;;灰","","無","12","Zejula","100","https://mcp.fda.gov.tw/insert/shapeImg/1d5f8c41-7bfc-45b9-90be-cada7c459829?c=o"
"衛部藥輸字第028654號","普樂腸溶膠囊60毫克","DEPULOX 60(Duloxetine Hydrochloride Delayed Release Capsules 60 mg)","膠囊","","藍;;;綠","","無","22","H","192","https://mcp.fda.gov.tw/insert/shapeImg/6de323c0-de54-4650-83d4-39005a128770?c=o"
"衛部藥輸字第028660號","痰湧適發泡顆粒600毫克","NAC-Novelty 600 mg Effervescent Granules","顆粒劑、粉劑或散劑","","白","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/15f87c1e-b532-42ae-8bb7-57e86bc1165e?c=o"
"衛部藥輸字第028662號","立服樂50毫克膠囊","LITFULO 50mg Capsules","膠囊","","藍;;;黃","","無","16","Pfizer","RCB 50","https://mcp.fda.gov.tw/insert/shapeImg/bb51cbab-ea6f-4fb0-bb7e-7e8197f72fca?c=o"
"衛部藥輸字第028663號","賀莫痔 痔瘡乳膏","Hemorex Cream",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/44f65ce3-281f-46d1-9bdf-fe68361cd408?c=o"
"衛部藥輸字第028666號","痰湧適發泡錠600毫克","NAC-Novelty 600 mg Effervescent Tablets","圓形","","白","","無","19",,,"https://mcp.fda.gov.tw/insert/shapeImg/0d93fdd3-7d98-478a-b76e-80b77ed15f0a?c=o"
"衛部藥輸字第028672號","愛瑞治膜衣錠500毫克","ABIRATRED 500","橢圓形","","棕;;;棕","","無","20","46",,"https://mcp.fda.gov.tw/insert/shapeImg/9ba06957-e1de-40a8-9d73-8ce102faeb98?c=o"
"衛部藥輸字第028673號","易貝儂長效皮下植入劑","Implanon NXT","其他","","白","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/a59fbb77-028a-4401-a033-77cb0f99e26b?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/c1116c2b-acba-4247-9f3f-c2f33a046781?c=o"
"衛部藥輸字第028674號","愛息坦定""山德士""凍晶注射劑","Azacitidine Sandoz Powder for Suspension for Injection",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/6c02a793-3523-4b40-9693-38befe61923e?c=o"
"衛部藥輸字第028676號","安保挺抗滋膜衣錠200/300毫克","Apo-Emtricitabine-Tenofovir F.C. Tablets 200/300 mg","橢圓形","","藍","","無","18","APO","E T","https://mcp.fda.gov.tw/insert/shapeImg/19563d6d-572b-458b-9f92-a9a891301449?c=o"
"衛部藥輸字第028681號","艾妥達錠10毫克","AQUIPTA 10 mg tablets","圓形","","白","","無","6.4","A","10","https://mcp.fda.gov.tw/insert/shapeImg/e7dee55b-e424-4f69-8088-7c7ea9e0a64f?c=o"
"衛部藥輸字第028682號","艾妥達錠60毫克","AQUIPTA 60 mg tablets","橢圓形","","白","","無","15.9","A60",,"https://mcp.fda.gov.tw/insert/shapeImg/6ed4e2d3-06d9-4da7-b7a4-35e96c98cb4b?c=o"
"衛部藥輸字第028684號","癌並通膜衣錠500毫克","Abiraterone Sandoz Film Coated Tablets 500mg","橢圓形","","紫","",,,"500",,"https://mcp.fda.gov.tw/insert/shapeImg/ac77fd9d-2528-4457-b960-ed34e4d0c521?c=o"
"衛部藥輸字第028686號","立剋癇膜衣錠100毫克","LACASA 100 (Lacosamide Tablets Ph.Eur. 100mg)","橢圓形","","黃","","無",,"788",,"https://mcp.fda.gov.tw/insert/shapeImg/a1b727d6-b81c-4fa0-9726-08d1e7323b41?c=o"
"衛部藥輸字第028687號","法佐甲錠100微公克","Thyrocure tablets 100mcg","圓形","","黃","","直線",,,,"https://mcp.fda.gov.tw/insert/shapeImg/c32f183e-12f0-443b-9499-2a8e8fdc9070?c=o"
"衛部藥輸字第028688號","法佐甲錠50微公克","Thyrocure tablets 50mcg","圓形","","白","","直線",,,,"https://mcp.fda.gov.tw/insert/shapeImg/eeb19ad2-50f1-4a3c-994e-b0b979c0b715?c=o"
"衛部藥輸字第028689號","立剋癇膜衣錠200毫克","LACASA 200 (Lacosamide Tablets Ph.Eur. 200mg)","橢圓形","","藍","","無",,"790",,"https://mcp.fda.gov.tw/insert/shapeImg/df5ca69f-7d37-496a-a5e8-dae11f5917c9?c=o"
"衛部藥輸字第028690號","腎潔磷咀嚼錠750公絲","Lanclean Chewable Tablet 750 mg","圓形","","白","","無",,"NAT","750","https://mcp.fda.gov.tw/insert/shapeImg/e7d9e7b0-3ca3-4d4c-a0ae-d5d374a99f8d?c=o"
"衛部藥輸字第028693號","杰百康膜衣錠100毫克","JAYPIRCA FILM-COATED TABLETS 100mg","圓形","","藍","","無","11","Lilly 100","7026","https://mcp.fda.gov.tw/insert/shapeImg/3ca6dee7-89ed-4177-8fb8-a099cc052800?c=o"
"衛部藥輸字第028697號","奇普汀持續性藥效錠200毫克","Quetiapine Prolonged-Release Tablets 200mg ""CYH""","四邊形","","白","","無","15.2","200",,"https://mcp.fda.gov.tw/insert/shapeImg/16333d51-ec07-4860-a0cb-aaa53cc056f1?c=o"
"衛部藥輸字第028698號","奇普汀持續性藥效錠300毫克","Quetiapine Prolonged-Release Tablets 300mg ""CYH""","四邊形","","白","","無","18.2","300",,"https://mcp.fda.gov.tw/insert/shapeImg/afec66a0-94d5-437d-b0f7-49cda0150b77?c=o"
"衛部藥輸字第028699號","奇普汀持續性藥效錠50毫克","Quetiapine Prolonged-Release Tablets 50mg ""CYH""","圓形","","白","","無","7.1","50",,"https://mcp.fda.gov.tw/insert/shapeImg/96e6f7ab-48eb-42fc-9368-0467b6b75f51?c=o"
"衛部藥輸字第028702號","萊利邁膠囊5毫克","LELIMIDE 5 (Lenalidomide Capsules 5 mg)","膠囊","","白;;;白","",,"19","H","L2","https://mcp.fda.gov.tw/insert/shapeImg/a1a9e01d-9906-4774-8223-5e90fc8dc49d?c=o"
"衛部藥輸字第028707號","愛吩咐膜衣錠400毫克","IFENTab F.C. Tablets 400mg",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/59a34a6d-4518-43ac-b01e-d86e86bf1506?c=o"
"衛部藥輸字第028710號","利控鉀口服懸液用粉劑5克","LOKELMA 5g Powder for Oral Suspension","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/c8db338f-b87a-484c-b177-3eb2ee44cdec?c=o"
"衛部藥輸字第028712號","立妥芙膜衣錠2.5毫克","Letov 2.5  (Letrozole F.C. Tablets USP 2.5 mg)","圓形;;;圓形","","白;;;白","",,,"ZF5",,"https://mcp.fda.gov.tw/insert/shapeImg/a4ec001d-4c4a-4ca8-8d12-ab0993e98b34?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/aa301a69-d95b-4a60-8671-9b601cb12be3?c=o"
"衛部藥輸字第028718號","助思益長效錠 54 毫克","Focuson Extended Release Tablets 54 mg","圓形","","粉","","無","10",,,"https://mcp.fda.gov.tw/insert/shapeImg/73e58e73-4b16-4401-92ee-399bcb891d97?c=o"
"衛部藥輸字第028719號","助思益長效錠 27 毫克","Focuson Extended Release Tablets 27 mg","圓形","","灰","","無","8.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/cd46c1c2-c680-400b-b550-e285f877a9d4?c=o"
"衛部藥輸字第028722號","黛恩朵錠2毫克","Diendo Tablets 2 mg","圓形","","白","","無","8","NC","22","https://mcp.fda.gov.tw/insert/shapeImg/bf394e24-622d-486a-a185-1c5b00527298?c=o"
"衛部藥輸字第028723號","必抗癲口服溶液用粉劑500毫克","VIGARO (Vigabatrin powder for oral solution USP 500 mg","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/1f4285df-68d9-4a38-864a-51f6ade7bf8f?c=o"
"衛部藥輸字第028727號","泰可佰持續性藥效膠囊5毫克","Tacrobell SR Capsules 5mg","膠囊;;;膠囊","","紅;;;棕;;;紅;;;棕","","無;;;無","21.2;;;21.2","5 mg;;;5 mg","CKD;;;CKD","https://mcp.fda.gov.tw/insert/shapeImg/e0d89ef2-4a77-445a-ae28-a54db7eb8e8a?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/edd5dc0b-348b-406e-b20b-170f04145c38?c=o"
