"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"衛署藥製字第026330號","""強生""得抑血錠２５０毫克（妥內散敏）","TRANEXAM TABLETS 250MG (TRANEXAMIC ACID)","圓形","","白","","無","11",,,"https://mcp.fda.gov.tw/insert/shapeImg/c32ae699-1da4-4d99-9049-d91bfb8f7b20?c=o"
"衛署藥製字第026346號","""陽生"" 鼻敏寧錠","BIMINING TABLETS ""Y.S.""","四邊形","","黃","","直線","7","TYS 623",,"https://mcp.fda.gov.tw/insert/shapeImg/11bef572-0150-4c14-b741-d9fde8333d2a?c=o"
"衛署藥製字第026363號","肌舒康錠５０公絲（妥配頌）","MUSCONE TABLETS 50MG (TOPERISONE) ""SHIN FONG""","圓形","","白","","無","9","m",,"https://mcp.fda.gov.tw/insert/shapeImg/fc9c9c9c-e4d1-41c6-a807-e5452abeb832?c=o"
"衛署藥製字第026405號","""十全"" 瑞利淨錠","RELIZINE TABLETS ""S.C.""","圓形","","白","","直線","7.5","SC R04",,"https://mcp.fda.gov.tw/insert/shapeImg/893fb06e-aa3a-4592-a64d-a91a4145035e?c=o"
"衛署藥製字第026430號","""國信""滅治咳－複合膠囊","METICON-A CAPSULES ""K.S.""","膠囊","","白;;;白","","無","17",,,"https://mcp.fda.gov.tw/insert/shapeImg/9abbab94-efdd-4b7e-8b4f-3a01844cdea4?c=o"
"衛署藥製字第026439號","榮富多信膠囊５００毫克（西華卓西）","Lonfadroxil Capsules 500 mg","膠囊","","橘;;;橘","","無","22","LKN","500","https://mcp.fda.gov.tw/insert/shapeImg/85728e21-fba1-431c-8f0d-2ce599d92ba8?c=o"
"衛署藥製字第026472號","""葡萄王""復炎膠囊20毫克(匹若卡)","FEREN CAPSULES 20MG (PIROXICAM)","膠囊","","黑;;;紅","","無","17",,,"https://mcp.fda.gov.tw/insert/shapeImg/6806ec48-fe17-4ec4-b463-d76ec3628070?c=o"
"衛署藥製字第026473號","阿西他米諾錠５００毫克（乙醯胺酚）","ACETAMINO TABLETS 500MG ""P.L.""(ACETAMINOPHEN)","橢圓形","","白","","直線","13","P L","T15","https://mcp.fda.gov.tw/insert/shapeImg/87fff62c-37de-4ae6-aef7-99b7787cdfe1?c=o"
"衛署藥製字第026478號","""美西"" 清鼻通膠囊","NABERINE CAPSULES ""MAY SEE""","膠囊","","綠;;;綠","","無","16",,,"https://mcp.fda.gov.tw/insert/shapeImg/72b4713f-8dcb-4d75-abfb-1fd70bdf60b8_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/887c0209-3a9a-445c-835e-ea71711d7081?c=o"
"衛署藥製字第026510號","""長安""維他命感冒膠囊","VITAMINCOLD CAPSULES ""C.A.""","膠囊","","棕;;;黃","","無","22",,,"https://mcp.fda.gov.tw/insert/shapeImg/be1e2fe9-a33c-4855-85db-663244de9b68?c=o"
"衛署藥製字第026529號","""明大"" 助化錠","BIOZE TABLETS ""M.T.""","圓形","","白","","無","7","8 9",,"https://mcp.fda.gov.tw/insert/shapeImg/1d725540-e04d-44aa-9675-5f396863cdac?c=o"
"衛署藥製字第026563號","""皇佳"" 婦淨喜陰道錠２００公絲（克摧瑪汝）","FASTIN VAGINAL TABLETS 200MG (CLOTRIMAZOLE)","水滴形","","白","","無","20",,,"https://mcp.fda.gov.tw/insert/shapeImg/6a56dd4f-a083-45c9-9c80-addbe894c559?c=o"
"衛署藥製字第026583號","滴必克錠５００公絲（梯尼達諾）","TIBICAN TABLETS 500MG (TINIDAZOLE)","四邊形","","白","","直線","18","TKP 030",,"https://mcp.fda.gov.tw/insert/shapeImg/178d62d4-a4c9-4ba7-a687-7b8700b87d8f?c=o"
"衛署藥製字第026615號","""十全""淨痰膠囊３７５毫克（卡玻西典）","JINTUM CAPSULES 375MG (S-CARBOXYMETHYLCYSTEINE)","膠囊","","紫;;;藍綠","","無","21","SC J 01",,"https://mcp.fda.gov.tw/insert/shapeImg/9d7fd0ce-6c74-4362-b6f2-5a6b94fb243d?c=o"
"衛署藥製字第026644號","""明大""痛樂腸溶錠２５毫克（二克氯吩鈉）","DICOK E.C. TABLETS 25MG (DICLOFENAC)""M.T.""","圓形","","黃","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/cc74ed58-232e-42a4-abf1-aeb9b0434ee1?c=o"
"衛署藥製字第026683號","""培力""蘇林達克錠１００毫克","SULINDA TABLETS 100MG (SULINDAC)","六邊形","","黃","","直線","12",,,"https://mcp.fda.gov.tw/insert/shapeImg/22a4d6c7-aa2e-4622-976b-2848da1ab798?c=o"
